seat-number,Chinese,English,Math,Science,Society,Total,Average,Ranking,,,,,,,,,,,,,,,,,,
1,69,36,73,66,82,326,65.20,19,,,,,,,,,,,,,,,,,,
2,33,28,10,20,38,129,25.80,31,,,,,,,,,,,,,,,,,,
3,76,43,47,78,86,330,66.00,16,,,,,,,,,,,,,,,,,,
4,70,90,74,81,76,391,78.20,10,,,,,,,,,,,,,,,,,,
5,67,77,79,54,52,329,65.80,17,,,,,,,,,,,,,,,,,,
6,89,95,84,68,64,400,80.00,9,,,,,,,,,,,,,,,,,,
7,72,96,92,86,72,418,83.60,4,,,,,,,,,,,,,,,,,,
8,26,24,27,32,28,137,27.40,30,,,,,,,,,,,,,,,,,,
9,82,91,98,97,86,454,90.80,3,,,,,,,,,,,,,,,,,,
10,54,58,69,66,60,307,61.40,23,,,,,,,,,,,,,,,,,,
11,79,78,94,75,58,384,76.80,12,,,,,,,,,,,,,,,,,,
12,55,79,47,59,48,288,57.60,24,,,,,,,,,,,,,,,,,,
13,53,20,66,62,54,255,51.00,27,,,,,,,,,,,,,,,,,,
14,13,20,32,32,32,129,25.80,31,,,,,,,,,,,,,,,,,,
15,59,55,60,60,30,264,52.80,26,,,,,,,,,,,,,,,,,,
16,39,60,85,86,44,314,62.80,20,,,,,,,,,,,,,,,,,,
17,94,91,100,88,84,457,91.40,2,,,,,,,,,,,,,,,,,,
21,60,82,76,57,38,313,62.60,21,,,,,,,,,,,,,,,,,,
22,45,18,10,20,26,119,23.80,33,,,,,,,,,,,,,,,,,,
23,70,92,98,86,70,416,83.20,5,,,,,,,,,,,,,,,,,,
24,80,85,79,69,92,405,81.00,7,,,,,,,,,,,,,,,,,,
25,68,83,59,72,46,328,65.60,18,,,,,,,,,,,,,,,,,,
26,74,92,90,77,78,411,82.20,6,,,,,,,,,,,,,,,,,,
27,52,68,69,63,56,308,61.60,22,,,,,,,,,,,,,,,,,,
28,56,46,35,51,66,254,50.80,28,,,,,,,,,,,,,,,,,,
29,90,96,100,94,92,472,94.40,1,,,,,,,,,,,,,,,,,,
30,45,48,64,42,40,239,47.80,29,,,,,,,,,,,,,,,,,,
31,85,92,68,91,50,386,77.20,11,,,,,,,,,,,,,,,,,,
32,79,89,79,62,66,375,75.00,13,,,,,,,,,,,,,,,,,,
34,70,76,75,66,62,349,69.80,15,,,,,,,,,,,,,,,,,,
35,81,89,88,69,74,401,80.20,8,,,,,,,,,,,,,,,,,,
36,65,83,82,68,64,362,72.40,14,,,,,,,,,,,,,,,,,,
37,67,70,36,45,50,268,53.60,25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
